         2323358 function calls (2294986 primitive calls) in 4.423 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1081    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
     4252    0.003    0.000    0.007    0.000 artist.py:1555(aliased_name)
        1    0.000    0.000    0.007    0.007 category.py:1(<module>)
      835    0.007    0.000    0.007    0.000 {built-in method nt._path_exists}
       37    0.000    0.000    0.007    0.000 __init__.py:1003(inner)
      510    0.001    0.000    0.007    0.000 typing.py:1439(copy_with)
      785    0.004    0.000    0.007    0.000 enum.py:249(__set_name__)
       63    0.000    0.000    0.007    0.000 typing.py:2739(_make_nmtuple)
        1    0.000    0.000    0.007    0.007 textpath.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _async.py:1(<module>)
      208    0.000    0.000    0.007    0.000 _meta_registrations.py:44(wrapper)
        1    0.000    0.000    0.007    0.007 _freeze.py:1(<module>)
        1    0.000    0.000    0.007    0.007 parser.py:1(<module>)
        1    0.000    0.000    0.007    0.007 fake_tensor.py:1(<module>)
        1    0.000    0.000    0.007    0.007 py3k.py:1(<module>)
     1280    0.001    0.000    0.006    0.000 typing.py:1130(__init__)
     1089    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
     1910    0.006    0.000    0.006    0.000 {built-in method torch._C._get_operation_overload}
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
        2    0.000    0.000    0.006    0.003 serialization.py:1(<module>)
        1    0.000    0.000    0.006    0.006 feedparser.py:1(<module>)
        1    0.000    0.000    0.006    0.006 scale.py:1(<module>)
     2084    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
   107812    0.006    0.000    0.006    0.000 __init__.py:215(square_rank)
        1    0.000    0.000    0.006    0.006 quiver.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _script.py:1(<module>)
        1    0.000    0.000    0.006    0.006 tempfile.py:1(<module>)
      127    0.005    0.000    0.006    0.000 library.py:79(define)
        1    0.000    0.000    0.006    0.006 graphs.py:1(<module>)
     1580    0.005    0.000    0.006    0.000 _ops.py:101(inner)
        6    0.000    0.000    0.006    0.001 linear_relu.py:1(<module>)
    19543    0.004    0.000    0.006    0.000 {built-in method builtins.hasattr}
   107623    0.006    0.000    0.006    0.000 {built-in method builtins.abs}
     1081    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        2    0.000    0.000    0.006    0.003 _pytree.py:1(<module>)
        2    0.000    0.000    0.005    0.003 ElementTree.py:1(<module>)
     1032    0.003    0.000    0.005    0.000 enum.py:383(__setitem__)
       35    0.001    0.000    0.005    0.000 typing.py:2758(__new__)
    13240    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
       26    0.000    0.000    0.005    0.000 _sources.py:11(get_source_lines_and_file)
       82    0.000    0.000    0.005    0.000 dataclasses.py:661(_cmp_fn)
       82    0.000    0.000    0.005    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.005    0.005 find_first_use_of_broken_modules.py:1(<module>)
   107972    0.005    0.000    0.005    0.000 __init__.py:211(square_file)
     9298    0.003    0.000    0.005    0.000 typing.py:1117(_is_dunder)
        1    0.000    0.000    0.005    0.005 ExifTags.py:1(<module>)
        1    0.002    0.002    0.005    0.005 _distributor_init.py:1(<module>)
       26    0.000    0.000    0.005    0.000 inspect.py:1255(getsourcelines)
        1    0.000    0.000    0.005    0.005 _policybase.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _parser.py:1(<module>)
       20    0.000    0.000    0.005    0.000 traceback.py:221(extract_stack)
        1    0.000    0.000    0.005    0.005 package_exporter.py:1(<module>)
      287    0.000    0.000    0.005    0.000 _meta_registrations.py:47(register)
      257    0.001    0.000    0.005    0.000 <frozen abc>:105(__new__)
       20    0.000    0.000    0.005    0.000 traceback.py:377(extract)
       20    0.000    0.000    0.005    0.000 traceback.py:399(_extract_from_extended_frame_gen)
        1    0.000    0.000    0.005    0.005 _memory_profiler.py:1(<module>)
        1    0.000    0.000    0.005    0.005 helpers.py:1(<module>)
     1804    0.005    0.000    0.005    0.000 {built-in method torch._C._dispatch_has_kernel}
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
       18    0.000    0.000    0.005    0.000 rcsetup.py:799(validate_cycler)
        1    0.000    0.000    0.005    0.005 cm.py:1(<module>)
        1    0.000    0.000    0.005    0.005 engine.py:1(<module>)
      158    0.000    0.000    0.004    0.000 typing.py:1529(__getitem__)
      100    0.000    0.000    0.004    0.000 __init__.py:497(_make_inplace)
      158    0.000    0.000    0.004    0.000 linecache.py:36(getlines)
      148    0.004    0.000    0.004    0.000 {built-in method nt.listdir}
       48    0.000    0.000    0.004    0.000 __init__.py:1347(_add_data_doc)
        1    0.000    0.000    0.004    0.004 net_min_base.py:1(<module>)
       81    0.000    0.000    0.004    0.000 linecache.py:80(updatecache)
        1    0.000    0.000    0.004    0.004 _builtins.py:1(<module>)
      220    0.000    0.000    0.004    0.000 textwrap.py:419(dedent)
    34348    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
        1    0.000    0.000    0.004    0.004 torch_version.py:1(<module>)
       29    0.000    0.000    0.004    0.000 dataclasses.py:638(_frozen_get_del_attr)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.004    0.004 multiarray.py:1(<module>)
